estado,cod_municipio_ibge,nome_municipio,regiao,populacao,leitos_uti_total,leitos_uti_100k_hab,leitos_uti_sus_total,leitos_uti_sus_100k_hab,medicos_total,medicos_sus,medicos_100k_hab,medicos_sus_100k_hab,enfermeiros_total,enfermeiros_sus,enfermeiros_100k_hab,enfermeiros_sus_100k_hab
Goiás,5200605,Alto Paraíso de Goiás,Centro-Oeste,7624,0,0,0,0,11,10,144.281217208814,131.164742917104,8,8,104.931794333683,104.931794333683
Paraná,4100608,Alto Paraná,Sul,14770,0,0,0,0,8,7,54.1638456330399,47.39336492891,7,7,47.39336492891,47.39336492891
Maranhão,2100501,Alto Parnaíba,Nordeste,11190,0,0,0,0,7,6,62.5558534405719,53.6193029490617,8,8,71.4924039320822,71.4924039320822
Paraná,4100707,Alto Piquiri,Sul,9836,0,0,0,0,11,9,111.834078893859,91.5006100040667,7,7,71.1671411142741,71.1671411142741
Minas Gerais,3102100,Alto Rio Doce,Sudeste,11000,0,0,0,0,8,6,72.7272727272727,54.5454545454545,9,9,81.8181818181818,81.8181818181818
Espírito Santo,3200359,Alto Rio Novo,Sudeste,7836,0,0,0,0,9,9,114.854517611026,114.854517611026,6,6,76.5696784073507,76.5696784073507
Ceará,2300705,Alto Santo,Nordeste,17146,0,0,0,0,11,11,64.1549049340954,64.1549049340954,15,15,87.4839612737665,87.4839612737665
Mato Grosso,5100607,Alto Taquari,Centro-Oeste,10847,0,0,0,0,7,6,64.533972526966,55.3148335945423,11,10,101.410528256661,92.1913893242371
Paraná,4100509,Altônia,Sul,22056,0,0,0,0,18,18,81.6104461371056,81.6104461371056,15,15,68.0087051142546,68.0087051142546
Piauí,2200400,Altos,Nordeste,40524,0,0,0,0,36,34,88.8362451880367,83.9008982331458,46,46,113.512979962491,113.512979962491
São Paulo,3501152,Alumínio,Sudeste,18628,0,0,0,0,29,21,155.679622074297,112.733519433111,13,13,69.7874167919261,69.7874167919261
Amazonas,1300029,Alvarães,Norte,16041,0,0,0,0,6,6,37.4041518608566,37.4041518608566,16,16,99.7444049622842,99.7444049622842
Minas Gerais,3102209,Alvarenga,Sudeste,3907,0,0,0,0,2,2,51.1901714870745,51.1901714870745,6,6,153.570514461223,153.570514461223
São Paulo,3501202,Álvares Florence,Sudeste,3679,0,0,0,0,3,3,81.5438977983148,81.5438977983148,5,5,135.906496330525,135.906496330525
São Paulo,3501301,Álvares Machado,Sudeste,24915,0,0,0,0,83,82,333.132651013446,329.119004615693,21,21,84.2865743527995,84.2865743527995
São Paulo,3501400,Álvaro de Carvalho,Sudeste,5227,0,0,0,0,4,4,76.5257317773101,76.5257317773101,5,5,95.6571647216377,95.6571647216377
São Paulo,3501509,Alvinlândia,Sudeste,3222,0,0,0,0,4,4,124.146492861577,124.146492861577,2,2,62.0732464307883,62.0732464307883
